"county","state","GEOID","lon","lat","P_total","P_white","P_black","P_asian","P_native","P_hawaiian","P_others","P_below_middle_school","P_some_high_school","P_high_school_equivalent","P_some_college","P_bachelor_and_above","P_below_poverty","median_age","gini_index","median_household_income","median_rent_per_income","percent_no_internet"
"Bannock County","ID","05000US16005",-112.2289863,42.6929385,84377,74610,280,1480,3335,0,2279,1296,3098,15031,18229,14713,13683,34,0.4654,48429,27.1,13.0106955424168
"Bonneville County","ID","05000US16019",-111.6218783,43.3951708,112232,99184,0,1521,843,0,7841,576,4067,16183,25007,21998,11958,33,0.4208,59706,25.2,8.47545757071547
"Canyon County","ID","05000US16027",-116.7085267,43.6230509,211698,171868,48,2978,2689,835,27575,5518,12731,41785,41778,24757,31822,32.7,0.4086,48437,28.3,14.5550322793055
"Kootenai County","ID","05000US16055",-116.6949184,47.6771129,154311,143862,1029,1352,2970,167,1836,685,6502,28908,41719,27414,24813,39.6,0.4217,51765,30.7,13.5150743099788
"Twin Falls County","ID","05000US16083",-114.6656386,42.352309,83514,NA,NA,NA,NA,NA,NA,1407,3657,14238,21566,11629,12017,34.7,0.4229,51210,34.2,11.6637338557057
"Adams County","IL","05000US17001",-91.1949607,39.9860525,66578,NA,NA,NA,NA,NA,NA,392,3048,16117,14706,11787,8041,42.1,0.46,51624,31,19.2894141679434
"Champaign County","IL","05000US17019",-88.1972014,40.1391496,208419,151060,27686,21908,331,62,1244,712,4064,25018,34726,55187,37842,29.9,0.5131,50335,32.7,10.7579163408913
"Cook County","IL","05000US17031",-87.6454546,41.8942937,5203499,2919459,1223763,371491,14508,1939,537416,173260,234099,832486,909459,1344758,763242,36.5,0.5049,60046,29.7,15.5452238905525
"DeKalb County","IL","05000US17037",-88.768991,41.8946125,104528,86721,7396,2439,117,0,4515,786,3740,15552,20750,19341,18120,30.9,0.4382,59285,30.3,9.60479694739711
"DuPage County","IL","05000US17043",-88.0860383,41.8520581,929368,714083,45918,107270,1060,481,35093,16291,23995,117199,161110,307628,63806,39,0.4554,84908,29.2,7.90460564865815
"Kane County","IL","05000US17089",-88.4280395,41.9395938,531715,374272,29929,21320,2405,33,91408,23571,22472,75833,100321,115853,56729,37.2,0.4488,73347,30.5,10.9511861313869
"Kankakee County","IL","05000US17091",-87.8611252,41.1394937,110008,86918,17306,1023,394,0,2799,2030,6096,24885,24039,13842,14338,38.2,0.4113,54911,24.4,17.6044157297655
"Kendall County","IL","05000US17093",-88.4306257,41.5881403,124695,NA,NA,NA,NA,NA,NA,2335,4293,16998,26126,27471,5968,35.2,0.3544,90482,31.6,6.86346682371417
"Lake County","IL","05000US17097",-87.4361178,42.3264435,703047,530524,46836,52572,1206,310,52919,16075,21154,93189,115963,202633,58653,38.5,0.4909,83152,30,9.02041818405008
"LaSalle County","IL","05000US17099",-88.8859312,41.3433407,110642,NA,NA,NA,NA,NA,NA,1158,6319,27210,26599,14744,14332,42.6,0.4108,57476,27.2,17.1072330346569
"McHenry County","IL","05000US17111",-88.452245,42.3242982,307004,284322,3937,8478,253,0,3878,4041,8777,54641,66576,69513,23974,39.7,0.4013,81063,29.6,7.0377629451665
"McLean County","IL","05000US17113",-88.8445391,40.4945594,172418,142803,14364,8635,380,0,1723,891,2111,26611,29498,46477,22022,32.9,0.4466,62156,25.5,11.8228627140333
"Macon County","IL","05000US17115",-88.9615288,39.8602372,106550,83242,13359,1089,262,13,529,1202,5192,24793,24649,15750,17702,41.6,0.4613,46198,31.2,16.8696877414663
"Madison County","IL","05000US17119",-89.9001954,38.8270818,265759,233639,23424,3169,299,0,1132,986,11223,53485,69435,49032,34795,40.4,0.4343,56035,29.7,13.7609633527711
"Peoria County","IL","05000US17143",-89.7673577,40.7859987,185006,135178,33901,7607,618,0,2033,1643,9115,32742,41126,37941,26789,37.3,0.477,51975,29.2,19.5126282287697
"Rock Island County","IL","05000US17161",-90.5722031,41.4684044,144784,116660,13890,3486,778,283,2819,2317,7722,28385,37898,22961,22647,39,0.421,50948,24.2,15.3556123974355
"St. Clair County","IL","05000US17163",-89.9285459,38.4701976,262759,168589,77768,4473,712,78,4008,2107,9961,52707,60906,49870,37795,38.7,0.4857,50267,33,19.3926437746941
"Sangamon County","IL","05000US17167",-89.662311,39.7563782,197499,162397,25993,3568,143,124,719,1203,7309,35861,41024,48467,27436,40,0.4618,53782,29.3,14.766330355959
"Tazewell County","IL","05000US17179",-89.5162597,40.5080739,134385,NA,NA,NA,NA,NA,NA,1283,5157,29458,34581,22478,10643,41.2,0.4104,60152,24.9,15.1594083959251
"Vermilion County","IL","05000US17183",-87.7267715,40.1867398,78111,NA,NA,NA,NA,NA,NA,1123,4168,20700,18472,7408,15680,40.5,0.4462,45481,33.8,20.655850663994
"Will County","IL","05000US17197",-87.9784564,41.4484742,689529,505732,76425,38308,2016,515,47269,12094,21805,118831,134033,155328,47321,37.9,0.4118,81438,30.5,9.68877703141168
"Williamson County","IL","05000US17199",-88.9300182,37.7303533,67560,NA,NA,NA,NA,NA,NA,199,3021,13083,18780,11670,10078,41.3,0.4294,48409,26,23.4333545084264
"Winnebago County","IL","05000US17201",-89.1612053,42.3373957,285873,226518,35905,7285,217,140,5520,4577,19707,60547,64214,43587,43941,39.8,0.4558,49749,27.6,15.5109742947581
"Allen County","IN","05000US18003",-85.0722302,41.0918553,370404,296773,42515,14669,461,102,4098,6248,15687,68073,77004,69172,54437,35.8,0.4479,51173,27,13.752259004497
"Bartholomew County","IN","05000US18005",-85.8979988,39.205843,81402,NA,NA,NA,NA,NA,NA,1810,5115,15917,13351,18111,10961,37.5,0.4381,59102,24.5,15.8066148105989
"Clark County","IN","05000US18019",-85.7111221,38.4762174,116031,102109,6608,457,79,0,1181,1041,6483,26941,27514,16255,11165,38.7,0.4195,51401,26.8,17.2925784742811
"Delaware County","IN","05000US18035",-85.3988555,40.2271653,115603,101294,8952,1473,226,340,979,885,5322,25957,21608,16007,23511,35.4,0.4806,41041,30.5,17.7354452054795
"Elkhart County","IN","05000US18039",-85.8639864,41.6006928,203781,180922,11251,2149,1040,360,3346,6052,16482,46946,31147,24192,28611,36.2,0.4073,54216,25.4,20.0242802157628
"Floyd County","IN","05000US18043",-85.9114742,38.3179365,76990,69860,3954,800,183,0,252,1160,3861,16432,16055,14803,6640,40.4,0.4805,58586,29.5,19.1136682763108
"Grant County","IN","05000US18053",-85.6549455,40.5157575,66937,NA,NA,NA,NA,NA,NA,1001,4529,17307,13197,7339,13141,39.9,0.4207,37117,30.9,22.7269300361882
"Hamilton County","IN","05000US18057",-86.0205856,40.0498703,316373,276282,11797,17484,322,0,2438,935,6645,31917,46937,118839,17542,36.9,0.4352,89823,24.5,5.02189485407649
"Hancock County","IN","05000US18059",-85.7729036,39.8226041,73717,NA,NA,NA,NA,NA,NA,439,2567,16243,15529,15236,7287,39.9,0.4027,67799,27.8,16.8764302059497
"Hendricks County","IN","05000US18063",-86.5102865,39.7687487,160610,NA,NA,NA,NA,NA,NA,419,6873,30447,28109,40072,9431,36.8,0.3758,78307,28.5,9.78748061421
"Howard County","IN","05000US18067",-86.1141178,40.4835368,82568,NA,NA,NA,NA,NA,NA,617,4233,22394,17515,12186,12250,41.4,0.4556,45702,26.9,15.4788711799971
"Johnson County","IN","05000US18081",-86.0946003,39.4959859,151982,NA,NA,NA,NA,NA,NA,1128,7171,30714,27227,32410,9860,37.5,0.4376,65991,27.4,13.3200102673169
"Kosciusko County","IN","05000US18085",-85.8615754,41.2442928,79092,75552,958,407,465,0,670,1394,6180,18586,13367,11059,8715,38.7,0.4303,53963,29.2,19.8563651865941
"Lake County","IN","05000US18089",-87.3743368,41.4722388,485846,299056,117223,6144,1531,95,48308,8342,24837,114124,103624,72277,77634,38.6,0.4582,53681,28.3,17.6850330055234
"LaPorte County","IN","05000US18091",-86.7447293,41.5490111,110015,91255,11928,889,610,63,2249,1052,5815,30323,24621,13954,16505,40.8,0.4309,53507,25.6,17.3171079526548
"Madison County","IN","05000US18095",-85.7224543,40.166203,129296,113364,9062,554,431,0,1179,1419,8494,36318,27035,15260,22098,40.4,0.4429,45495,28.2,17.5555293932972
"Marion County","IN","05000US18097",-86.1357939,39.7829759,941229,577828,260219,27885,2924,295,39113,18287,50420,173858,178149,186033,171692,34.3,0.4952,44874,30.6,18.0934385596269
"Monroe County","IN","05000US18105",-86.5233253,39.1607509,145496,125427,4068,9461,310,0,848,342,5763,19840,19297,35619,33297,28.5,0.5152,43582,36,11.1973290774678
"Morgan County","IN","05000US18109",-86.4474573,39.4826458,69698,NA,NA,NA,NA,NA,NA,400,3752,20735,14987,7740,7095,42.3,0.374,60530,25.7,13.550481047873
"Porter County","IN","05000US18127",-87.0713082,41.509922,167791,153318,5280,2055,224,129,1705,1913,6650,37808,37217,29471,11284,39.1,0.4196,66196,27.6,14.6413488711777
"St. Joseph County","IN","05000US18141",-86.2881592,41.6176989,269141,209203,35405,6408,1880,190,9023,3351,14766,55910,47525,49076,41875,36.5,0.4688,48358,27.9,21.7407876708801
"Tippecanoe County","IN","05000US18157",-86.8939426,40.3892597,188059,152857,9666,15385,268,200,6020,2045,5789,27194,29256,38232,32247,28.2,0.473,51361,34.4,11.8924055259118
"Vanderburgh County","IN","05000US18163",-87.5861659,38.0200703,181721,155227,15804,1990,310,1210,1808,1015,12387,37585,39122,31718,31154,37.7,0.4625,46064,29.6,19.7470920926262
"Vigo County","IN","05000US18167",-87.3903754,39.4291426,107931,94021,6808,2044,427,47,686,1227,5676,21572,21886,17737,16294,35.7,0.4289,43910,36.7,14.719301725848
"Wayne County","IN","05000US18177",-85.0067352,39.8630908,66568,NA,NA,NA,NA,NA,NA,771,3204,19100,13186,7987,10426,40.4,0.4303,43401,26.3,24.9528977315548
"Butler County","KS","05000US20015",-96.8387616,37.7736811,67025,NA,NA,NA,NA,NA,NA,73,3201,11978,15557,12768,4857,38.4,0.4117,60182,25.5,14.9221132448694
"Douglas County","KS","05000US20045",-95.2905294,38.8965726,119440,97894,4866,6249,1800,26,2960,600,2559,12743,16972,35978,19125,30,0.4659,56345,33.2,10.8048801895901
"Johnson County","KS","05000US20091",-94.8223295,38.8839065,584451,505785,25393,27644,1260,332,5627,4901,10117,55924,102829,217267,32437,37.6,0.4457,80553,27.2,5.91119030522238
"Leavenworth County","KS","05000US20103",-95.038977,39.1895108,80204,64838,7435,1697,463,295,3120,208,2204,15327,17439,18116,5777,36.7,0.4202,68299,24.5,12.0372414808273
"Riley County","KS","05000US20161",-96.7274889,39.2912114,73343,60227,4370,3820,182,264,998,NA,NA,NA,NA,NA,12529,25.2,0.4603,50737,29.9,7.92226619127845
"Sedgwick County","KS","05000US20173",-97.4594505,37.683807,511995,400297,42474,21236,4630,0,18824,7863,23613,85423,104750,103878,75984,35.1,0.4489,52193,27.6,15.3021985036897
"Shawnee County","KS","05000US20177",-95.7556639,39.0418052,178146,143411,14949,2374,1773,127,9288,2154,6369,39983,35016,35972,17150,38.4,0.4436,55710,27,21.9397726138001
"Wyandotte County","KS","05000US20209",-94.7630866,39.1153842,163831,96425,37308,6063,1335,0,15480,7094,13040,33589,28248,18506,30865,33.9,0.4176,43129,28.2,23.1409336340647
"Boone County","KY","05000US21015",-84.7314442,38.9745952,128536,NA,NA,NA,NA,NA,NA,726,3699,20816,31063,25263,9664,37,0.428,72374,27.6,8.59356656492134
"Bullitt County","KY","05000US21029",-85.7030364,37.9695717,79151,NA,NA,NA,NA,NA,NA,721,5831,21501,16811,8304,8372,39.9,0.4168,65359,27.6,14.3816509970038
"Campbell County","KY","05000US21037",-84.3795832,38.9469811,92211,NA,NA,NA,NA,NA,NA,1069,2797,18819,16450,22547,11420,37.7,0.4355,62536,28,14.3194097803132
"Christian County","KY","05000US21047",-87.4935542,36.8933877,72351,51567,16784,420,251,433,1227,452,3709,13415,16118,6308,14409,28.5,0.4613,41140,29.4,24.7203534891127
"Daviess County","KY","05000US21059",-87.087139,37.731671,99674,NA,NA,NA,NA,NA,NA,1175,4197,20840,23587,15602,16694,38.9,0.4748,51764,27.8,16.195210578112
"Fayette County","KY","05000US21067",-84.4584429,38.0401572,318449,238917,46097,11699,1080,201,10307,5269,11751,41326,54655,90182,54232,34.4,0.4942,53178,28.9,11.1218606699859
"Hardin County","KY","05000US21093",-85.9631827,37.6958356,107316,84280,13475,1851,175,275,2024,1037,4474,20651,26804,16654,14717,37.3,0.4394,52148,25.2,14.4617478076807
"Jefferson County","KY","05000US21111",-85.6576239,38.1895327,765352,551075,165658,21038,1477,409,5410,8480,37311,137233,169097,168689,106861,38.3,0.4767,51991,27.8,13.2785418941244
"Kenton County","KY","05000US21117",-84.533492,38.9304771,164945,149375,7334,1922,241,0,1667,2509,8243,30245,34821,34126,20482,37.4,0.4235,62182,25.6,10.556682230502
"McCracken County","KY","05000US21145",-88.7123775,37.0536877,65162,NA,NA,NA,NA,NA,NA,684,3644,12752,18176,9231,12791,40.7,0.5034,39048,29,22.2480292792793
"Madison County","KY","05000US21151",-84.277008,37.7235278,89547,NA,NA,NA,NA,NA,NA,1245,4483,15985,15785,15612,18998,34,0.4557,43840,34.5,18.8624267832189
"Oldham County","KY","05000US21185",-85.4560593,38.4000461,65560,60007,1848,834,361,0,523,241,1666,8908,14267,17663,3917,38.4,0.4344,90341,30.7,5.7176581680831
"Warren County","KY","05000US21227",-86.4235786,36.995634,125532,103029,11775,4718,642,0,2655,2058,5526,20225,22392,24066,22748,33.1,0.4872,46686,28.1,11.8645139532923
"Ascension Parish","LA","05000US22005",-90.9100234,30.2029461,121587,NA,NA,NA,NA,NA,NA,1698,6975,25133,23758,19153,11764,35.1,0.4165,76581,26.3,8.35897435897436
"Bossier Parish","LA","05000US22015",-93.6179774,32.6962022,126057,91878,28446,1906,275,220,773,1939,6925,23886,27462,21579,23032,34.7,0.4485,48163,32.6,18.5279615660163
"Caddo Parish","LA","05000US22017",-93.8824228,32.5771951,248851,114096,123912,3212,552,0,3470,2731,16516,57001,49289,37049,65090,36.9,0.5444,37104,36.8,27.304935151038
"Calcasieu Parish","LA","05000US22019",-93.3580154,30.2295588,200601,140157,50582,2284,747,0,2541,3604,13673,44163,41870,26954,42143,36.2,0.4777,45962,29,25.9564579573927
"East Baton Rouge Parish","LA","05000US22033",-91.093174,30.5440017,447037,210180,205707,14660,419,0,8592,4611,17875,78360,81858,97181,86232,33.3,0.5162,50508,30.1,14.5905082924208
"Iberia Parish","LA","05000US22045",-91.8427057,29.6060126,73273,NA,NA,NA,NA,NA,NA,2267,6003,19233,10114,6924,16982,36.8,0.4309,41424,33.1,23.6128048780488
"Jefferson Parish","LA","05000US22051",-90.036231,29.5033,436523,271283,117081,18643,1899,0,18732,12571,28356,97084,83620,78274,67693,39,0.4849,49678,33.2,22.1902641907328
"Lafayette Parish","LA","05000US22055",-92.06417,30.2065065,241398,168941,61221,4038,401,0,1594,3340,12377,48517,43174,51322,45278,34.1,0.4956,49969,29,12.7588915067878
"Lafourche Parish","LA","05000US22057",-90.394849,29.4919925,98305,77516,13471,504,2473,73,2617,3200,9036,26143,13820,11675,17167,38,0.4359,51772,28.2,22.1134976746687
"Livingston Parish","LA","05000US22063",-90.7274738,30.4404194,140138,NA,NA,NA,NA,NA,NA,2436,9736,37043,24425,15615,18467,36.3,0.4305,56534,23.1,14.9034309905432
"Orleans Parish","LA","05000US22071",-89.9390074,30.0686361,391495,133434,233836,11721,434,97,4750,7877,28169,59915,70401,105791,88916,35.7,0.569,38681,35.5,23.0041138932979
"Ouachita Parish","LA","05000US22073",-92.1547984,32.4774949,156983,NA,NA,NA,NA,NA,NA,1498,12583,38011,26777,21265,37704,35.6,0.5058,37275,34,27.4264475887321
"Rapides Parish","LA","05000US22079",-92.5359531,31.1932037,132424,84072,42337,2230,701,0,419,2645,7981,32382,24186,18526,25096,37.4,0.4997,42582,33.1,21.5666561943659
"St. Landry Parish","LA","05000US22097",-91.9892745,30.5834409,83883,NA,NA,NA,NA,NA,NA,2591,7331,23070,9909,7712,22384,36.5,0.4942,31207,35.2,33.41693617583
"St. Tammany Parish","LA","05000US22103",-89.9519622,30.4100224,253602,210347,27933,3793,1660,274,3516,2130,13037,46570,55250,53821,21281,39.7,0.4543,64639,30,12.131663141912
"Tangipahoa Parish","LA","05000US22105",-90.4066332,30.6215806,130710,87647,37463,730,481,0,577,1279,13264,27623,22153,16816,25960,35.9,0.4788,48162,37.7,16.793701315018
"Terrebonne Parish","LA","05000US22109",-90.8441905,29.3332656,113220,79883,22901,571,6376,0,1450,3274,7880,29616,18061,10872,26021,35.5,0.4809,46026,33,22.8966136352302
"Barnstable County","MA","05000US25001",-70.2110827,41.7988188,214276,196365,5175,2951,914,1034,2794,1053,4563,42874,43873,71991,13717,53.1,0.4678,67898,33.6,10.6089736665875
"Berkshire County","MA","05000US25003",-73.2139479,42.3753141,126903,116668,3428,2049,260,67,1200,1198,5759,28442,24614,31121,11869,46.7,0.4463,58418,27.4,13.9878975721349
"Bristol County","MA","05000US25005",-71.0870622,41.7485756,558324,469087,23337,13414,105,305,38545,20451,25365,112509,107439,113980,57480,40.8,0.458,66027,29,15.0103625975578
"Essex County","MA","05000US25009",-70.8651073,42.642711,779018,635443,30824,26984,1362,366,63750,20480,28643,133541,137304,205985,82528,41.3,0.4801,73901,31.5,12.4240468985601
"Franklin County","MA","05000US25011",-72.5916552,42.5837911,70382,65664,692,710,262,293,583,264,2414,15551,15071,19419,6051,45.9,0.4626,57106,30.2,16.7131009459635
"Hampden County","MA","05000US25013",-72.6356476,42.1361975,468467,388013,40874,10440,1009,0,14956,12049,25832,93476,93327,83072,75434,38.9,0.4518,51544,31.6,18.1023720349563
"Hampshire County","MA","05000US25015",-72.6636936,42.3394593,161816,143231,3958,7242,72,265,1101,1223,3526,24640,23802,45885,17078,36.6,0.4638,64354,34.3,9.64980143380267
"Middlesex County","MA","05000US25017",-71.396507,42.479477,1589774,1220690,86605,187448,2454,517,52376,29494,35692,215733,205626,611606,118943,38.5,0.4566,95249,28.4,9.61904970536047
"Norfolk County","MA","05000US25021",-71.1798747,42.1697025,697181,546568,45901,74523,843,215,12800,6857,18294,99200,101633,256115,40963,41,0.484,92696,29.7,8.24952323212169
"Plymouth County","MA","05000US25023",-70.7419417,41.9871959,513565,430007,45757,6215,688,152,20248,6604,17093,105106,95007,128552,39173,42.4,0.4362,82087,29.2,10.4037881209468
"Suffolk County","MA","05000US25025",-71.0201725,42.33196,784230,432065,179093,68847,2715,252,42262,30838,35051,123792,96388,242704,146698,32.7,0.533,61796,30.6,13.0760455034388
"Worcester County","MA","05000US25027",-71.940282,42.3116934,819589,683124,39855,39751,1532,292,33956,11440,37402,157340,147222,201190,75347,40.1,0.4512,69295,29.3,12.897553742541
"Allegany County","MD","05000US24001",-78.7031084,39.6123087,72130,63802,6374,619,150,27,64,443,3333,20514,16166,9040,10294,40.8,0.4265,45606,29.8,20.1753115039119
"Anne Arundel County","MD","05000US24003",-76.5605111,38.9933743,568346,416095,91607,20626,1034,53,13384,3907,20570,93197,106153,165472,38160,38,0.4147,96483,28.6,6.97297976381453
"Baltimore County","MD","05000US24005",-76.6165693,39.4431666,831026,512637,238123,49490,2431,579,6408,10551,30920,154668,155005,219510,72939,39.4,0.4352,72764,28.5,10.7391322410449
"Calvert County","MD","05000US24009",-76.5258639,38.5213575,91251,73623,11839,1709,0,0,1064,448,2863,19788,20191,18826,4395,40.6,0.3644,98732,27.6,8.66066473453783
"Carroll County","MD","05000US24013",-77.0155121,39.5631892,167656,153931,5631,3078,407,104,555,963,7277,35491,31823,39753,7331,43.2,0.3904,90343,28.6,12.5119605585378
"Cecil County","MD","05000US24015",-75.9415843,39.5623524,102603,NA,NA,NA,NA,NA,NA,843,6292,25122,20505,16887,9877,40,0.4041,74221,31.6,10.6499356499357
"Charles County","MD","05000US24017",-77.0154272,38.4728532,157705,71927,71324,4466,246,0,1100,1571,4076,36816,32951,28837,10563,38.1,0.3904,95735,31,12.8520087968675
"Frederick County","MD","05000US24021",-77.3976265,39.4704273,247591,200808,25712,11679,1172,58,2201,4224,8354,41846,43749,68585,17448,39.3,0.4057,90043,29.3,9.52895322939866
"Harford County","MD","05000US24025",-76.2997894,39.5374292,251032,198064,33432,5848,476,78,2935,3854,8781,46114,50534,62906,17946,41.2,0.4133,84175,30.5,10.4799973859911
"Howard County","MD","05000US24027",-76.9244057,39.2522639,317233,186168,58167,57006,405,56,2907,3348,4605,30124,41966,131537,14639,38.6,0.401,120941,27.1,4.45167137601962
"Montgomery County","MD","05000US24031",-77.2030633,39.1373815,1043863,574964,191046,154518,2053,239,77581,28988,23024,102471,131934,423556,69755,39,0.4613,99763,30,6.84217856894141
"Prince George's County","MD","05000US24033",-76.8472724,38.8258796,908049,159377,571454,38290,3802,287,106267,38652,39999,159212,171427,195356,81035,36.7,0.3894,79184,29.7,10.2473555630636
"St. Mary's County","MD","05000US24037",-76.5342705,38.222666,112587,NA,NA,NA,NA,NA,NA,1173,6912,22272,22592,19369,10839,35.9,0.3917,78195,30,15.9978727518855
"Washington County","MD","05000US24043",-77.8146709,39.6036207,150292,126158,16125,2009,228,253,313,2441,10760,38948,29853,21353,19764,40.5,0.4461,54250,27.9,20.0075236457438
"Wicomico County","MD","05000US24045",-75.6322064,38.3673888,102577,69068,26015,3530,30,108,933,1510,4594,23577,17959,16126,19639,35.8,0.4305,50844,35.4,17.7679882525698
"Baltimore city","MD","05000US24510",-76.6105159,39.3002135,614664,189260,384465,15149,1800,604,9016,13283,41757,125266,104018,130304,130053,34.9,0.5211,47350,29.6,20.6362326124248
"Androscoggin County","ME","05000US23001",-70.2074347,44.1676811,107319,NA,NA,NA,NA,NA,NA,820,4522,28522,22964,16219,12573,40.4,0.4154,49081,28.5,14.317518979451
"Aroostook County","ME","05000US23003",-68.6494098,46.7270567,67959,64534,904,292,850,13,84,1184,3353,17626,16063,9962,11101,47.5,0.4534,39450,28.5,24.6674420295122
"Cumberland County","ME","05000US23005",-70.3303753,43.8083479,292041,268659,8502,6084,996,0,661,1586,6982,49944,53968,95726,30276,42.2,0.4572,65913,30.1,9.36136689002025
"Kennebec County","ME","05000US23011",-69.7657639,44.4170119,120569,115205,1336,1313,607,183,218,1483,4829,29362,26068,22904,18447,43.3,0.4355,51573,27.3,15.1011696762989
"Penobscot County","ME","05000US23019",-68.6574869,45.3906022,151806,143639,811,1404,1940,0,338,492,4821,38783,34573,26852,22236,42,0.4529,47328,29.8,13.6107650137055
"York County","ME","05000US23031",-70.6704023,43.4272386,202343,NA,NA,NA,NA,NA,NA,1871,6912,46320,46387,45129,14355,44.9,0.4357,60863,27.2,13.5505462658696
"Allegan County","MI","05000US26005",-86.6347446,42.5957875,115548,108703,1445,417,307,0,1013,963,3727,29442,24752,17114,8777,39.4,0.3837,57846,25.6,19.2308608167639
"Bay County","MI","05000US26017",-83.9787007,43.6997112,104747,NA,NA,NA,NA,NA,NA,948,5252,26412,28257,13348,16403,43.1,0.4429,44756,29.7,16.7038927887683
"Berrien County","MI","05000US26021",-86.7418216,41.7926389,154010,120388,22043,2977,413,16,2443,2060,7921,29052,36455,30250,24806,41.6,0.4783,47083,29.4,18.5215389043462
"Calhoun County","MI","05000US26025",-85.0123853,42.2429896,134386,110181,14071,2622,539,0,848,1744,5827,34381,29390,18352,22036,39.6,0.4545,45902,31.9,20.4545454545455
"Clinton County","MI","05000US26037",-84.5916949,42.950455,77888,NA,NA,NA,NA,NA,NA,579,1858,14857,18196,17398,7476,40.1,0.4254,65730,25,11.5395245992261
"Eaton County","MI","05000US26045",-84.8465237,42.5896144,109160,95114,6008,2049,572,178,1071,810,3794,21045,30020,19445,13573,40.9,0.4152,56211,26.8,15.1345542470783
"Genesee County","MI","05000US26049",-83.7063718,43.0210768,408615,304971,81377,4111,1737,305,2400,3055,20269,90709,106050,55990,81834,39.9,0.4738,43955,33.6,20.9414312291007
"Grand Traverse County","MI","05000US26055",-85.5538484,44.7186875,92084,NA,NA,NA,NA,NA,NA,560,2572,16555,24578,21783,9739,43.4,0.4709,58532,29.1,14.1119939869
"Ingham County","MI","05000US26065",-84.3738107,42.6035338,288051,213921,33628,19021,993,187,5347,2516,9338,38545,54666,66044,54799,31.8,0.4651,49139,31.3,14.7442721799265
"Isabella County","MI","05000US26073",-84.8394245,43.6452331,71282,62681,1517,1392,1337,0,424,516,1784,11139,12398,11608,15601,27.8,0.4938,41868,40.3,13.6120401337793
"Jackson County","MI","05000US26075",-84.4208679,42.2484738,158460,138283,13482,1260,676,116,810,1324,7933,31409,44255,24079,19592,41.2,0.4421,50009,29.5,17.1470004833897
"Kalamazoo County","MI","05000US26077",-85.5328544,42.2462657,261654,212319,28131,6828,373,0,2359,2213,7117,37289,53475,61780,43413,34.7,0.4638,53138,31.1,10.2769308943089
"Kent County","MI","05000US26081",-85.547446,43.0324971,642173,514715,59715,18849,1930,67,21076,13897,23270,103835,129279,146606,75539,35.1,0.4573,59668,27.6,10.9438424636855
"Lapeer County","MI","05000US26087",-83.2243247,43.0886327,88340,84352,1009,509,203,56,522,1150,4652,24180,20907,11095,10064,44.6,0.433,54309,33.7,16.170353848936
"Lenawee County","MI","05000US26091",-84.0668533,41.8959147,98504,91291,2998,256,702,0,663,1116,4261,25187,21919,15097,11686,42.1,0.4336,51918,26.9,15.4257430983828
"Livingston County","MI","05000US26093",-83.9117183,42.6025316,188624,182458,1273,1730,291,79,267,1062,4742,36223,43413,44858,10727,43.5,0.4164,78038,26.7,10.8127198496899
"Macomb County","MI","05000US26099",-82.9108693,42.6714669,867730,706518,100689,32772,1762,50,4781,15331,37462,189808,208460,151316,93270,41,0.429,60143,29.4,12.6934595550102
"Marquette County","MI","05000US26103",-87.5840278,46.6565965,66435,61683,808,649,207,15,283,413,1300,13094,14036,14640,10108,38.4,0.4318,51275,32.7,17.2294942297266
"Midland County","MI","05000US26111",-84.3792195,43.648378,83462,77534,1235,1738,228,0,403,675,2446,16334,19114,19756,6711,42.6,0.4636,57269,27.2,15.5667374421919
"Monroe County","MI","05000US26115",-83.4871059,41.916097,149208,140808,4242,952,804,0,514,1152,7040,37166,37585,20139,14320,42.2,0.4146,60799,28.4,14.1404004150436
"Muskegon County","MI","05000US26121",-86.751892,43.2892579,173408,139261,24450,1128,1249,0,1092,1406,9256,41069,44723,19575,31910,39.1,0.4316,44264,29.8,18.9082629093632
"Oakland County","MI","05000US26125",-83.3842103,42.6604518,1243970,934642,167411,87646,3016,232,11061,11112,35856,161799,255592,404076,104971,41,0.4757,71920,26.4,9.63614578132801
"Ottawa County","MI","05000US26139",-86.6553423,42.9423461,282250,255093,3439,6244,628,165,7174,3754,7787,53335,52659,55773,25957,35,0.4069,64513,26.5,10.2783171521036
"Saginaw County","MI","05000US26145",-84.05541,43.3282667,192326,144965,35768,2503,493,61,2800,1332,10133,43655,44580,29891,32331,41,0.4522,45849,31.1,19.4154967258644
"St. Clair County","MI","05000US26147",-82.6689135,42.9288035,159587,148831,3835,1223,358,0,1247,1675,9658,39983,41221,18456,21899,43.6,0.4293,51864,29.7,16.4522464639698
"Shiawassee County","MI","05000US26155",-84.1463518,42.9515446,68554,NA,NA,NA,NA,NA,NA,176,2392,17896,19573,7739,7392,41.8,0.4251,53244,27.8,17.7941647964091
"Van Buren County","MI","05000US26159",-86.3056965,42.2839861,75223,64948,2312,425,1240,146,2211,1265,4310,17068,17780,10307,12872,40.7,0.477,47917,27.3,22.8039676858574
"Washtenaw County","MI","05000US26161",-83.8446336,42.2523272,364709,269158,43375,31232,1789,179,2218,1794,7360,33885,58372,124255,50914,33.5,0.4903,65601,30.7,8.35171581750298
"Wayne County","MI","05000US26163",-83.2619533,42.2846636,1749366,924131,680630,54230,5458,420,36368,32912,115053,350222,384204,269403,391366,37.8,0.501,43464,33,20.6384153760735
